"osf","id","paper","experiment","effect","internalReplication","resulto","resultr","smdo","so","smdr","sr","effectType","ESo","seESo","lowerESo","upperESo","po","ESr","seESr","lowerESr","upperESr","pr","no","nr"
"https://osf.io/oblj1/","(24, 4, 5, 1)",24,4,5,1,"Positive","Positive",2.919355,1.56693292541327,2.839691,1.30428246139426,"Glass' delta",2.919355,1.672521,-0.1722412,5.970023,0.0220685,2.839691,1.35793,0.2468907,5.359584,0.01399455,6,8
"https://osf.io/oblj1/","(24, 4, 6, 1)",24,4,6,1,"Positive","Positive",7.677419,3.55774994081658,2.677871,1.25286478188845,"Glass' delta",7.677419,3.924584,0.9427065,14.88883,0.005551034,2.677871,1.301985,0.1814093,5.092549,0.002836135,6,8
"https://osf.io/oblj1/","(24, 4, 7, 1)",24,4,7,1,"Positive","Null-positive",3.680851,1.8664024256846,0.4207117,0.648544876347968,"Glass' delta",3.680851,2.013413,0.04586493,7.362028,0.01632962,0.4207117,0.6497113,-0.8743082,1.667941,0.6034163,6,10
"https://osf.io/oblj1/","(24, 4, 8, 1)",24,4,8,1,"Positive","Null-negative",3.147803,1.34562375676455,-0.6520032,0.652451172616875,"Cohen's d",3.147803,1.690525,0.4555848,5.730333,0.01822076,-0.6520032,0.7302134,-1.912009,0.6455526,0.3327408,6,10
"https://osf.io/oblj1/","(24, 4, 9, 1)",24,4,9,1,"Positive","Positive",5.480214,2.02592727790956,1.624701,0.747952264206537,"Cohen's d",5.480214,2.5751,1.493808,9.435297,0.002565041,1.624701,0.8403707,0.123476,3.055395,0.03318543,6,10
"https://osf.io/gb7sr/","(28, 2, 1, 1)",28,2,1,1,"Positive","Null-negative",1.21875,0.688260019388347,-0.1689181,0.536643177270845,"Glass' delta",1.21875,0.6941675,-0.1704775,2.5274522,0.0294672,-0.1689181,0.5367421,-1.2139127,0.8896899,0.7121999,12,14
"https://osf.io/gb7sr/","(28, 3, 1, 1)",28,3,1,1,"Positive","Null-positive",0.8459824,0.866029816562332,0.2600372,0.35513017355946,"Cohen's d",0.8459824,1.064984,-0.8959904,2.4987841,0.3586755,0.2600372,0.3667908,-0.4381443,0.9539404,0.2738076,6,32
"https://osf.io/gb7sr/","(28, 3, 2, 1)",28,3,2,1,"Positive","Null-positive",2.18464,1.15440218179875,0.02047842,0.250027476966624,"Cohen's d",2.18464,1.062438,-0.0856468,4.4395266,0.06328464,0.02047842,0.2500262,-0.4699046,0.5101851,0.9357984,3,16
"https://osf.io/gb7sr/","(28, 3, 3, 1)",28,3,3,1,"Null","Null-negative",2.114064,1.12710889966604,-0.3576466,0.258244770818469,"Cohen's d",2.114064,1.03837,-0.1067127,4.311473,0.06715723,-0.3576466,0.2578706,-0.8582565,0.1540444,0.1730503,3,16
"https://osf.io/hcqqy/","(29, 2, 1, 1)",29,2,1,1,"Positive","Positive",26,11.2645141309477,10.30995,4.67217513802885,"Cohen's d",26,10.63015,4.098563,48.254647,0.0004927322,10.30995,4.248431,1.540743,19.855333,0.003121253,3,3
"https://osf.io/hcqqy/","(29, 2, 2, 1)",29,2,2,1,"Null","Null-negative",1.3,0.832926580731585,-2.035979,1.09715947178725,"Cohen's d",1.3,0.7842194,-0.3837554,2.8812568,0.1531738,-2.035979,1.012028,-4.1703266,0.1304595,0.07185459,3,3
"https://osf.io/hcqqy/","(29, 2, 3, 1)",29,2,3,1,"Positive","Positive",17.3413,5.90340490502189,14.06732,4.81361192063639,"Cohen's d",17.3413,7.575296,5.896563,29.037485,2.905701e-05,14.06732,6.172865,4.725533,23.594545,6.659353e-05,6,6
"https://osf.io/hcqqy/","(29, 3, 1, 1)",29,3,1,1,"Positive","Null-positive",0.420530358316469,0.158133373956776,0.0694619324780675,0.110227488810224,"Hazard ratio",10.32306,1.038819,1.508854,70.626861,0.01734749,1.439196,2.890483,0.4544079,4.558209,0.535919,10,23
"https://osf.io/nbryi/","(37, 1, 1, 1)",37,1,1,1,"Positive","Null-positive",2.955051,0.843627746755777,0.4716736,0.594718428090677,"Cliff's delta",0.925,0.075,0.6221087,0.9870526,0.01975383,0.3142857,0.4239433,-0.4619786,0.8178903,0.771006,13,12
