"osf","id","paper","experiment","effect","resulto","resultr","smdo","so","smdr","sr","effectType","ESo","seESo","lowerESo","upperESo","po","ESr","seESr","lowerESr","upperESr","pr","no","nr"
"https://osf.io/yyqas/","(1, 2, 1)",1,2,1,"Positive","Null-positive",15.55022,5.30652301880982,0.2433831,0.635279275446581,"Cohen's d",15.55022,6.807295,5.257552,26.05874,1.405839e-07,0.2433831,0.7103716,-1.009143,1.481106,0.7054361,6,10
"https://osf.io/yyqas/","(1, 2, 2)",1,2,2,"Positive","Positive",6.153975,2.23505612070112,1.728561,0.761866448454367,"Cohen's d",6.153975,2.846206,1.768501,10.52976,0.0001439379,1.728561,0.8564062,0.1992304,3.185692,0.0147371,6,10
"https://osf.io/yyqas/","(1, 2, 3)",1,2,3,"Positive","Positive",23.24239,7.6506257861258,1.832289,0.77634551553103,"Cohen's d",23.24239,10.11381,7.984998,37.9749,5.954225e-09,1.832289,0.8730909,0.2738955,3.317114,0.01050397,6,10
"https://osf.io/yyqas/","(1, 2, 4)",1,2,4,"Positive","Positive",7.692164,2.72309927228203,1.588906,0.743298168482355,"Cohen's d",7.692164,3.47768,2.372797,13.04715,2.947534e-05,1.588906,0.8350066,0.09712672,3.010802,0.02309614,6,10
"https://osf.io/yyqas/","(1, 2, 5)",1,2,5,"Positive","Null-positive",17.08841,5.81904417120014,0.1037272,0.632969284020355,"Cohen's d",17.08841,7.466766,5.806536,28.61677,6.720672e-08,0.1037272,0.7077009,-1.140048,1.341146,0.8717794,6,10
"https://osf.io/yyqas/","(1, 3, 1)",1,3,1,"Positive","Positive",3.550201,1.81406532622301,2.113865,0.957620530175433,"Glass' delta",3.550201,1.95388,0.01023859,7.121244,0.01991732,2.113865,0.9790572,0.1901405,3.943944,0.001698913,6,10
"https://osf.io/yyqas/","(1, 3, 2)",1,3,2,"Positive","Null-positive",2.485944,1.40422608359606,0.3524805,0.643790987973746,"Glass' delta",2.485944,1.48716,-0.3100871,5.194378,0.03834298,0.3524805,0.6446164,-0.9296733,1.593941,0.5797451,6,10
"https://osf.io/yyqas/","(1, 3, 3)",1,3,3,"Positive","Positive",3.240964,1.6916547223076,2.056528,0.943164193108275,"Glass' delta",3.240964,1.81456,-0.07688066,6.554284,0.02393541,2.056528,0.9636718,0.1604913,3.857627,0.002616336,6,10
"https://osf.io/yyqas/","(1, 3, 4)",1,3,4,"Positive","Null-positive",3.514033,1.44563079849904,0.5172411,0.645112032656415,"Cohen's d",3.514033,1.820805,0.6315354,6.298304,0.01260772,0.5172411,0.721735,-0.7623987,1.766394,0.4371327,6,10
"https://osf.io/yyqas/","(1, 3, 5)",1,3,5,"Positive","Positive",5.702851,2.09462930563156,2.245365,0.839154858442956,"Cohen's d",5.702851,2.664201,1.585428,9.796224,0.00221037,2.245365,0.9454523,0.5624174,3.851844,0.007506881,6,10
